Status,Node
Treated chronic,0
Susceptible,1
Susceptible,2
Susceptible,3
Susceptible,4
Susceptible,5
Susceptible,6
Untreated chronic,7
Susceptible,8
Susceptible,9
Susceptible,10
Susceptible,11
Untreated chronic,12
Susceptible,13
Treated chronic,14
Treated chronic,15
Susceptible,16
Susceptible,17
Susceptible,18
Susceptible,19
Susceptible,20
Treated chronic,21
Susceptible,22
Treated chronic,23
Susceptible,24
Treated chronic,25
Susceptible,26
Untreated chronic,27
Susceptible,28
Susceptible,29
Susceptible,30
Susceptible,31
Treated chronic,32
Susceptible,33
Susceptible,34
Treated chronic,35
Susceptible,36
Treated chronic,37
Susceptible,38
Treated chronic,39
Untreated chronic,40
Susceptible,41
Susceptible,42
Susceptible,43
Untreated chronic,44
Susceptible,45
Treated chronic,46
Susceptible,47
Susceptible,48
Treated chronic,49
Susceptible,50
Treated chronic,51
Susceptible,52
Susceptible,53
Untreated chronic,54
Susceptible,55
Untreated chronic,56
Susceptible,57
Susceptible,58
Susceptible,59
Susceptible,60
Susceptible,61
Susceptible,62
Treated chronic,63
Untreated chronic,64
Susceptible,65
Susceptible,66
Susceptible,67
Treated chronic,68
Susceptible,69
Susceptible,70
Untreated chronic,71
Susceptible,72
Susceptible,73
Treated chronic,74
Susceptible,75
Susceptible,76
Treated chronic,77
Susceptible,78
Susceptible,79
Untreated chronic,80
Untreated chronic,81
Susceptible,82
Susceptible,83
Susceptible,84
Susceptible,85
Untreated chronic,86
Susceptible,87
Susceptible,88
Susceptible,89
Susceptible,90
Susceptible,91
Susceptible,92
Susceptible,93
Susceptible,94
Susceptible,95
Untreated chronic,96
Susceptible,97
Susceptible,98
Susceptible,99
Treated chronic,100
Susceptible,101
Susceptible,102
Susceptible,103
Susceptible,104
Susceptible,105
Treated chronic,106
Untreated chronic,107
Susceptible,108
Susceptible,109
Treated chronic,110
Susceptible,111
Susceptible,112
Susceptible,113
Treated chronic,114
Treated chronic,115
Susceptible,116
Susceptible,117
Susceptible,118
Untreated chronic,119
Susceptible,120
Treated chronic,121
Susceptible,122
Treated chronic,123
Susceptible,124
Susceptible,125
Susceptible,126
Susceptible,127
Treated chronic,128
Susceptible,129
Susceptible,130
Untreated chronic,131
Susceptible,132
Susceptible,133
Susceptible,134
Susceptible,135
Susceptible,136
Susceptible,137
Untreated chronic,138
Susceptible,139
Untreated chronic,140
Susceptible,141
Untreated chronic,142
Susceptible,143
Untreated chronic,144
Susceptible,145
Treated chronic,146
Treated chronic,147
Untreated chronic,148
Susceptible,149
Susceptible,150
Untreated chronic,151
Untreated chronic,152
Susceptible,153
Susceptible,154
Treated chronic,155
Susceptible,156
Untreated chronic,157
Susceptible,158
Susceptible,159
Susceptible,160
Susceptible,161
Susceptible,162
Treated chronic,163
Treated chronic,164
Untreated chronic,165
Susceptible,166
Susceptible,167
Untreated chronic,168
Untreated chronic,169
Susceptible,170
Untreated chronic,171
Treated chronic,172
Susceptible,173
Susceptible,174
Treated chronic,175
Susceptible,176
Susceptible,177
Susceptible,178
Untreated chronic,179
Susceptible,180
Susceptible,181
Treated chronic,182
Susceptible,183
Untreated chronic,184
Susceptible,185
Treated chronic,186
Susceptible,187
Untreated chronic,188
Susceptible,189
Untreated chronic,190
Susceptible,191
Susceptible,192
Susceptible,193
Susceptible,194
Susceptible,195
Susceptible,196
Susceptible,197
Treated chronic,198
Untreated chronic,199
Susceptible,200
Susceptible,201
Susceptible,202
Susceptible,203
Treated chronic,204
Untreated chronic,205
Untreated chronic,206
Susceptible,207
Susceptible,208
Treated chronic,209
Treated chronic,210
Susceptible,211
Susceptible,212
Susceptible,213
Susceptible,214
Susceptible,215
Susceptible,216
Treated chronic,217
Treated chronic,218
Susceptible,219
Susceptible,220
Susceptible,221
Susceptible,222
Susceptible,223
Treated chronic,224
Susceptible,225
Susceptible,226
Susceptible,227
Susceptible,228
Susceptible,229
Treated chronic,230
Susceptible,231
Susceptible,232
Susceptible,233
Susceptible,234
Untreated chronic,235
Susceptible,236
Susceptible,237
Susceptible,238
Susceptible,239
Susceptible,240
Susceptible,241
Untreated chronic,242
Susceptible,243
Untreated chronic,244
Susceptible,245
Untreated chronic,246
Treated chronic,247
Untreated chronic,248
Susceptible,249
Susceptible,250
Susceptible,251
Susceptible,252
Susceptible,253
Susceptible,254
Treated chronic,255
Susceptible,256
Untreated chronic,257
Untreated chronic,258
Susceptible,259
Untreated chronic,260
Susceptible,261
Susceptible,262
Susceptible,263
Untreated chronic,264
Susceptible,265
Susceptible,266
Susceptible,267
Untreated chronic,268
Untreated chronic,269
Treated chronic,270
Untreated chronic,271
Susceptible,272
Untreated chronic,273
Susceptible,274
Susceptible,275
Susceptible,276
Susceptible,277
Susceptible,278
Susceptible,279
Susceptible,280
Susceptible,281
Susceptible,282
Susceptible,283
Susceptible,284
Susceptible,285
Treated chronic,286
Susceptible,287
Susceptible,288
Untreated chronic,289
Susceptible,290
Susceptible,291
Susceptible,292
Untreated chronic,293
Untreated chronic,294
Susceptible,295
Treated chronic,296
