Status,Node
Susceptible,0
Untreated chronic,1
Treated chronic,2
Susceptible,3
Susceptible,4
Susceptible,5
Susceptible,6
Susceptible,7
Untreated chronic,8
Susceptible,9
Susceptible,10
Susceptible,11
Susceptible,12
Untreated chronic,13
Susceptible,14
Susceptible,15
Susceptible,16
Susceptible,17
Untreated chronic,18
Susceptible,19
Susceptible,20
Untreated chronic,21
Susceptible,22
Susceptible,23
Susceptible,24
Susceptible,25
Treated chronic,26
Susceptible,27
Treated chronic,28
Treated chronic,29
Untreated chronic,30
Susceptible,31
Untreated chronic,32
Susceptible,33
Susceptible,34
Untreated chronic,35
Susceptible,36
Susceptible,37
Susceptible,38
Susceptible,39
Susceptible,40
Treated chronic,41
Susceptible,42
Susceptible,43
Untreated chronic,44
Treated chronic,45
Treated chronic,46
Untreated chronic,47
Susceptible,48
Untreated chronic,49
Susceptible,50
Susceptible,51
Untreated chronic,52
Susceptible,53
Untreated chronic,54
Treated chronic,55
Susceptible,56
Susceptible,57
Treated chronic,58
Susceptible,59
Untreated chronic,60
Treated chronic,61
Treated chronic,62
Susceptible,63
Treated chronic,64
Susceptible,65
Susceptible,66
Treated chronic,67
Susceptible,68
Susceptible,69
Susceptible,70
Susceptible,71
Susceptible,72
Treated chronic,73
Treated chronic,74
Susceptible,75
Susceptible,76
Untreated chronic,77
Susceptible,78
Treated chronic,79
Untreated chronic,80
Susceptible,81
Susceptible,82
Susceptible,83
Treated chronic,84
Susceptible,85
Susceptible,86
Untreated chronic,87
Susceptible,88
Untreated chronic,89
Susceptible,90
Susceptible,91
Susceptible,92
Susceptible,93
Susceptible,94
Susceptible,95
Susceptible,96
Susceptible,97
Susceptible,98
Susceptible,99
Untreated chronic,100
Untreated chronic,101
Untreated chronic,102
Untreated chronic,103
Susceptible,104
Susceptible,105
Susceptible,106
Susceptible,107
Susceptible,108
Treated chronic,109
Untreated chronic,110
Susceptible,111
Susceptible,112
Treated chronic,113
Susceptible,114
Susceptible,115
Susceptible,116
Susceptible,117
Susceptible,118
Untreated chronic,119
Susceptible,120
Susceptible,121
Susceptible,122
Susceptible,123
Untreated chronic,124
Susceptible,125
Susceptible,126
Untreated chronic,127
Untreated chronic,128
Treated chronic,129
Susceptible,130
Susceptible,131
Susceptible,132
Untreated chronic,133
Susceptible,134
Untreated chronic,135
Susceptible,136
Susceptible,137
Susceptible,138
Susceptible,139
Susceptible,140
Susceptible,141
Susceptible,142
Susceptible,143
Untreated chronic,144
Susceptible,145
Susceptible,146
Susceptible,147
Susceptible,148
Susceptible,149
Susceptible,150
Untreated chronic,151
Susceptible,152
Treated chronic,153
Susceptible,154
Untreated chronic,155
Susceptible,156
Treated chronic,157
Susceptible,158
Treated chronic,159
Treated chronic,160
Susceptible,161
Susceptible,162
Susceptible,163
Treated chronic,164
Susceptible,165
Treated chronic,166
Untreated chronic,167
Susceptible,168
Untreated chronic,169
Susceptible,170
Susceptible,171
Susceptible,172
Susceptible,173
Susceptible,174
Susceptible,175
Susceptible,176
Susceptible,177
Treated chronic,178
Treated chronic,179
Untreated chronic,180
Untreated chronic,181
Susceptible,182
Susceptible,183
Susceptible,184
Treated chronic,185
Treated chronic,186
Susceptible,187
Susceptible,188
Susceptible,189
Susceptible,190
Susceptible,191
Treated chronic,192
Susceptible,193
Susceptible,194
Susceptible,195
Treated chronic,196
Untreated chronic,197
Susceptible,198
Susceptible,199
Susceptible,200
Susceptible,201
Susceptible,202
Susceptible,203
Treated chronic,204
Susceptible,205
Susceptible,206
Treated chronic,207
Susceptible,208
Susceptible,209
Susceptible,210
Treated chronic,211
Susceptible,212
Susceptible,213
Untreated chronic,214
Susceptible,215
Susceptible,216
Susceptible,217
Susceptible,218
Treated chronic,219
Susceptible,220
Susceptible,221
Untreated chronic,222
Susceptible,223
Susceptible,224
Susceptible,225
Treated chronic,226
Treated chronic,227
Susceptible,228
Susceptible,229
Treated chronic,230
Susceptible,231
Susceptible,232
Susceptible,233
Susceptible,234
Treated chronic,235
Susceptible,236
Untreated chronic,237
Untreated chronic,238
Susceptible,239
Susceptible,240
Susceptible,241
Untreated chronic,242
Susceptible,243
Susceptible,244
Untreated chronic,245
Susceptible,246
Susceptible,247
Treated chronic,248
Susceptible,249
Untreated chronic,250
Untreated chronic,251
Treated chronic,252
Susceptible,253
Susceptible,254
Susceptible,255
Susceptible,256
Untreated chronic,257
Treated chronic,258
Susceptible,259
Susceptible,260
Untreated chronic,261
Susceptible,262
Treated chronic,263
Susceptible,264
Susceptible,265
Untreated chronic,266
Untreated chronic,267
Untreated chronic,268
Susceptible,269
Untreated chronic,270
Susceptible,271
Susceptible,272
Susceptible,273
Untreated chronic,274
Susceptible,275
Susceptible,276
Susceptible,277
Treated chronic,278
Susceptible,279
Susceptible,280
Susceptible,281
Susceptible,282
Treated chronic,283
Treated chronic,284
Susceptible,285
Treated chronic,286
Susceptible,287
Susceptible,288
Susceptible,289
Susceptible,290
Susceptible,291
Treated chronic,292
Untreated chronic,293
Susceptible,294
Susceptible,295
Susceptible,296
Susceptible,297
Susceptible,298
Treated chronic,299
Susceptible,300
Treated chronic,301
Treated chronic,302
Susceptible,303
Susceptible,304
Treated chronic,305
Susceptible,306
Untreated chronic,307
Susceptible,308
Untreated chronic,309
Untreated chronic,310
Susceptible,311
Susceptible,312
Susceptible,313
Susceptible,314
Susceptible,315
Susceptible,316
Susceptible,317
Treated chronic,318
Susceptible,319
Susceptible,320
Susceptible,321
Susceptible,322
Treated chronic,323
Susceptible,324
Untreated chronic,325
Susceptible,326
Treated chronic,327
Susceptible,328
Untreated chronic,329
Susceptible,330
Susceptible,331
Susceptible,332
Susceptible,333
Treated chronic,334
Susceptible,335
Susceptible,336
Susceptible,337
Susceptible,338
Treated chronic,339
Susceptible,340
Susceptible,341
Susceptible,342
Susceptible,343
Susceptible,344
Untreated acute,345
Treated chronic,346
Susceptible,347
Untreated chronic,348
Treated chronic,349
Susceptible,350
Susceptible,351
Susceptible,352
Untreated chronic,353
Susceptible,354
Treated chronic,355
Treated chronic,356
Susceptible,357
Susceptible,358
Untreated chronic,359
Susceptible,360
Susceptible,361
Treated chronic,362
Susceptible,363
Untreated chronic,364
Susceptible,365
Susceptible,366
Susceptible,367
Untreated chronic,368
Untreated chronic,369
Untreated chronic,370
Untreated chronic,371
Untreated chronic,372
Susceptible,373
Untreated chronic,374
Susceptible,375
Susceptible,376
Susceptible,377
Treated chronic,378
Susceptible,379
Susceptible,380
Susceptible,381
Untreated chronic,382
Untreated acute,383
Untreated chronic,384
Untreated chronic,385
Susceptible,386
Susceptible,387
Susceptible,388
Susceptible,389
Susceptible,390
Susceptible,391
Treated chronic,392
Susceptible,393
Susceptible,394
Susceptible,395
Susceptible,396
Susceptible,397
Susceptible,398
Susceptible,399
Susceptible,400
Susceptible,401
Susceptible,402
Susceptible,403
Susceptible,404
Treated chronic,405
Treated chronic,406
Treated chronic,407
Susceptible,408
Untreated chronic,409
Treated chronic,410
Susceptible,411
Susceptible,412
Untreated chronic,413
Untreated acute,414
Susceptible,415
Susceptible,416
Susceptible,417
Susceptible,418
Susceptible,419
Susceptible,420
Susceptible,421
Treated chronic,422
Susceptible,423
Susceptible,424
Treated chronic,425
Untreated chronic,426
Treated chronic,427
Untreated chronic,428
Susceptible,429
Treated chronic,430
Untreated chronic,431
Susceptible,432
Untreated chronic,433
Susceptible,434
Untreated chronic,435
Susceptible,436
Susceptible,437
Susceptible,438
Untreated chronic,439
Untreated chronic,440
Susceptible,441
Susceptible,442
Treated chronic,443
Susceptible,444
Treated chronic,445
Susceptible,446
Susceptible,447
Treated chronic,448
Untreated chronic,449
Susceptible,450
Susceptible,451
Susceptible,452
Treated chronic,453
Susceptible,454
Susceptible,455
Treated chronic,456
Susceptible,457
Susceptible,458
Untreated chronic,459
Treated chronic,460
Susceptible,461
Susceptible,462
Treated chronic,463
Susceptible,464
Susceptible,465
Susceptible,466
Susceptible,467
Treated chronic,468
Untreated chronic,469
Untreated chronic,470
Untreated chronic,471
Susceptible,472
Susceptible,473
Untreated chronic,474
Susceptible,475
Susceptible,476
Untreated chronic,477
Susceptible,478
Susceptible,479
Susceptible,480
Susceptible,481
Susceptible,482
Treated chronic,483
Susceptible,484
Untreated chronic,485
Susceptible,486
Untreated chronic,487
Treated chronic,488
Susceptible,489
Susceptible,490
Susceptible,491
Treated chronic,492
Untreated chronic,493
Susceptible,494
Susceptible,495
Susceptible,496
Untreated chronic,497
Susceptible,498
Treated chronic,499
Susceptible,500
Untreated chronic,501
Treated chronic,502
Susceptible,503
Susceptible,504
Susceptible,505
Susceptible,506
Susceptible,507
Susceptible,508
Susceptible,509
Susceptible,510
Susceptible,511
Treated chronic,512
Susceptible,513
Susceptible,514
Susceptible,515
Susceptible,516
Susceptible,517
Susceptible,518
Susceptible,519
Susceptible,520
Untreated chronic,521
Susceptible,522
Susceptible,523
Treated chronic,524
Susceptible,525
Untreated chronic,526
Treated chronic,527
Treated chronic,528
Susceptible,529
Susceptible,530
Treated chronic,531
Susceptible,532
Susceptible,533
Susceptible,534
Susceptible,535
Susceptible,536
Untreated chronic,537
Susceptible,538
Treated chronic,539
Susceptible,540
Untreated chronic,541
Untreated chronic,542
Susceptible,543
Susceptible,544
Susceptible,545
Susceptible,546
Susceptible,547
Susceptible,548
Susceptible,549
Untreated chronic,550
Untreated chronic,551
Treated chronic,552
Susceptible,553
Susceptible,554
Susceptible,555
Susceptible,556
Susceptible,557
Susceptible,558
Susceptible,559
Susceptible,560
Treated chronic,561
Treated chronic,562
Susceptible,563
Untreated chronic,564
Treated chronic,565
Susceptible,566
Susceptible,567
Susceptible,568
Susceptible,569
Treated chronic,570
Susceptible,571
Susceptible,572
Susceptible,573
Susceptible,574
Treated chronic,575
Untreated chronic,576
Susceptible,577
Susceptible,578
Susceptible,579
Treated chronic,580
Susceptible,581
Susceptible,582
Treated chronic,583
Treated chronic,584
Susceptible,585
Susceptible,586
Susceptible,587
Susceptible,588
Susceptible,589
Treated chronic,590
Susceptible,591
Untreated chronic,592
Treated chronic,593
Susceptible,594
Untreated chronic,595
Susceptible,596
Treated chronic,597
Susceptible,598
Untreated chronic,599
Untreated chronic,600
Susceptible,601
Untreated chronic,602
Susceptible,603
Susceptible,604
Susceptible,605
Untreated chronic,606
Untreated chronic,607
Susceptible,608
Treated chronic,609
Susceptible,610
Susceptible,611
Susceptible,612
Susceptible,613
Untreated chronic,614
Susceptible,615
Untreated chronic,616
Susceptible,617
Susceptible,618
Untreated chronic,619
Untreated chronic,620
Susceptible,621
Susceptible,622
Susceptible,623
Susceptible,624
Treated chronic,625
Susceptible,626
Treated chronic,627
Susceptible,628
Susceptible,629
Susceptible,630
Susceptible,631
Susceptible,632
Treated chronic,633
Susceptible,634
Susceptible,635
Susceptible,636
Susceptible,637
Susceptible,638
Treated chronic,639
Susceptible,640
Susceptible,641
Susceptible,642
Susceptible,643
Susceptible,644
Untreated chronic,645
Treated chronic,646
Susceptible,647
Treated chronic,648
Untreated chronic,649
Susceptible,650
Susceptible,651
Untreated chronic,652
Treated chronic,653
Susceptible,654
Susceptible,655
Untreated chronic,656
Susceptible,657
Susceptible,658
Susceptible,659
Susceptible,660
Treated chronic,661
Susceptible,662
Susceptible,663
Untreated chronic,664
Susceptible,665
Untreated chronic,666
Susceptible,667
Untreated chronic,668
Susceptible,669
Susceptible,670
Susceptible,671
Susceptible,672
Susceptible,673
Susceptible,674
Susceptible,675
Susceptible,676
Susceptible,677
Susceptible,678
Treated chronic,679
Treated chronic,680
Susceptible,681
Untreated chronic,682
Treated chronic,683
Susceptible,684
Treated chronic,685
Susceptible,686
Susceptible,687
Susceptible,688
Untreated chronic,689
Treated chronic,690
Susceptible,691
Susceptible,692
Susceptible,693
Susceptible,694
Susceptible,695
Susceptible,696
Susceptible,697
Susceptible,698
Susceptible,699
Untreated chronic,700
Treated chronic,701
Susceptible,702
Untreated chronic,703
Susceptible,704
Susceptible,705
Susceptible,706
Susceptible,707
Susceptible,708
Untreated acute,709
Untreated chronic,710
Susceptible,711
Untreated chronic,712
Susceptible,713
Susceptible,714
Susceptible,715
Treated chronic,716
Susceptible,717
Treated chronic,718
Susceptible,719
Untreated chronic,720
Susceptible,721
Susceptible,722
Susceptible,723
Untreated chronic,724
Susceptible,725
Susceptible,726
Susceptible,727
Susceptible,728
Susceptible,729
Treated chronic,730
Susceptible,731
Susceptible,732
Treated chronic,733
Treated chronic,734
Susceptible,735
Treated chronic,736
Susceptible,737
Susceptible,738
Susceptible,739
Susceptible,740
Susceptible,741
Susceptible,742
Susceptible,743
Susceptible,744
Susceptible,745
Susceptible,746
Susceptible,747
Susceptible,748
Susceptible,749
Susceptible,750
Susceptible,751
Treated chronic,752
Susceptible,753
Untreated chronic,754
Susceptible,755
Susceptible,756
Treated chronic,757
Untreated chronic,758
Susceptible,759
Untreated chronic,760
Susceptible,761
Susceptible,762
Susceptible,763
Untreated chronic,764
Susceptible,765
Treated chronic,766
Susceptible,767
Susceptible,768
Susceptible,769
Susceptible,770
Susceptible,771
Susceptible,772
Susceptible,773
Treated chronic,774
Susceptible,775
Susceptible,776
Susceptible,777
Susceptible,778
Susceptible,779
Susceptible,780
Susceptible,781
Susceptible,782
Untreated chronic,783
Susceptible,784
Untreated chronic,785
Susceptible,786
Susceptible,787
Susceptible,788
Susceptible,789
Untreated chronic,790
Susceptible,791
Susceptible,792
Treated chronic,793
Susceptible,794
Untreated chronic,795
Susceptible,796
Susceptible,797
Susceptible,798
Susceptible,799
Susceptible,800
Susceptible,801
Susceptible,802
Treated chronic,803
Susceptible,804
Untreated chronic,805
Susceptible,806
Untreated chronic,807
